[run number],birds-dispersal-distance,habitat-patch-size,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,mean-free-path,siminputrow
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,702,5,1.333074293476779,20,[2.103 2.126],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,3215,12,2.215744969601783,184,[2.177 2.114],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,5356,18,2.3231657493348568,1527,[2.121 2.125],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,5640,13,1.9282600823209273,1949,[2.132 2.129],10
1,1.1,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,432,19,2.3849011591513767,513,[5.232 5.401],11
1,1.2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,726,18,2.5019155778058506,1448,[5.429 5.414],12
1,1.5,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,3346,19,2.324775707306679,3803,[5.327 5.453],13
1,2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,5345,20,2.246247717208428,4945,[5.32 5.395],14
1,3,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,5690,14,2.0598045335141055,4830,[5.362 5.447],15
1,1.1,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,453,12,1.7394987947809215,1517,[10.388 10.409],16
1,1.2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,656,14,1.9770790976474775,2336,[10.665 10.265],17
1,1.5,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,3488,14,2.1237457189509272,4783,[10.751 10.523],18
1,2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,5746,13,2.169151845098492,5322,[10.76 10.458],19
1,3,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,-1282541756,1500,6100,12,1.6676917920269205,5370,[10.859 10.337],20
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,406,1,0,2,[1.242 1.271],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,753,1,0,7,[1.244 1.26],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,3367,5,1.5229550675313184,9,[1.238 1.266],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5681,2,0.5859526183035508,11,[1.25 1.283],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5892,0,0,0,[1.24 1.264],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,368,5,1.4021833450938606,56,[2.16 2.112],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,690,11,2.224074471999171,160,[2.142 2.105],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,3117,10,2.2200160072427972,206,[2.145 2.097],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5315,14,2.1592772731660634,1393,[2.175 2.127],9
1,3,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5501,10,1.6708686980106535,1998,[2.186 2.098],10
1,1.1,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,321,17,2.286832195501023,673,[5.244 5.618],11
1,1.2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,681,15,2.38503695808912,1206,[5.331 5.336],12
1,1.5,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,3164,21,2.422525958629839,3902,[5.434 5.476],13
1,2,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5286,18,1.9813196997102622,4828,[5.509 5.452],14
1,3,29,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5553,17,2.0866970061586345,5045,[5.409 5.393],15
1,1.1,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,371,17,2.222835474227675,1686,[10.88 10.428],16
1,1.2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,596,16,2.1459608377214408,2425,[10.347 10.384],17
1,1.5,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,3091,20,2.4154990394494487,4739,[10.171 10.379],18
1,2,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5676,16,2.0777328950626086,5231,[10.718 10.307],19
1,3,61,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,745672023,1500,5847,8,1.8567554346539226,5384,[11.085 10.287],20
1,1.1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,476,0,0,0,[1.255 1.271],1
1,1.2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,807,1,0,3,[1.256 1.271],2
1,1.5,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,3439,4,1.313834033192747,10,[1.239 1.258],3
1,2,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5638,2,0.6365141682948128,9,[1.246 1.274],4
1,3,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5985,3,0.7559829155446122,22,[1.252 1.253],5
1,1.1,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,431,3,0.9809896824453154,18,[2.144 2.114],6
1,1.2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,787,6,1.5920876626358726,76,[2.145 2.07],7
1,1.5,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,3126,10,2.1430609202909303,222,[2.163 2.133],8
1,2,9,1.7,199,199,0,100,1,1e-4,FALSE,0.6,200,1500,FALSE,regular,NoSelection,0,2009874158,1500,5259,13,1.7533504319785425,1418,[2.154 2.133],9
