"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"BirthSelection_pf06_hpf3-59_dd1-3"
"05/15/2021 13:26:17:352 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"81","0.6","4","3","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3534","8","1.8860858757730221","3867"
"83","0.6","4","3","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3531","8","1.6926279588804487","3862"
"85","0.6","4","3","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3538","5","1.5878915915168978","3892"
"86","0.6","4","3","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3529","7","1.4765955974852931","3895"
"87","0.6","4","3","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3521","7","1.5403947465909833","3891"
"82","0.6","4","3","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3542","11","2.0331904509113587","3853"
"84","0.6","4","3","false","0.001","BirthSelection","3","1","100","0","200","0.3","1500","3540","5","1.5162214114934578","3818"
"89","0.6","4","3","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3533","8","1.9441791739510734","3887"
"88","0.6","4","3","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3534","7","1.4331086972461262","3860"
"90","0.6","4","3","false","0.001","BirthSelection","9","1","100","0","200","0.3","1500","3524","6","1.5184092229425594","3914"
"91","0.6","4","3","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3516","10","1.8226375267539754","3902"
"93","0.6","4","3","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3543","10","1.9608765853315506","3902"
"92","0.6","4","3","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3543","8","1.473274889733633","3929"
"94","0.6","4","3","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3546","10","1.6274498855972694","3904"
"95","0.6","4","3","false","0.001","BirthSelection","29","1","100","0","200","0.3","1500","3534","9","1.474301899518873","3915"
"96","0.6","4","3","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3762","10","1.8481945049038084","3912"
"97","0.6","4","3","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3771","6","1.4686973149554903","3917"
"98","0.6","4","3","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3778","8","1.2550377686635052","3936"
"100","0.6","4","3","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3771","6","0.8994205923199801","3908"
"99","0.6","4","3","false","0.001","BirthSelection","61","1","100","0","200","0.3","1500","3783","7","1.644911161851613","3900"
