"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoHiBi_pf00_hpf3_dd1-3_lambda1.1-4"
"06/29/2021 18:41:12:282 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","199","0","199"
"[run number]","world-width","world-height","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"73","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","16","2.680782381388784","54"
"77","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","23","3.011889616388153","82"
"68","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","17","2.568274022147751","91"
"79","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","12","2.2461964142284923","57"
"80","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","17","2.6075947074495414","92"
"75","99","99","0.6","1.1","1.5","false","0.001","Hierarchical","3","1","100","0","0","1600","0.3","1600","0","13","2.3787296314455806","45"
"63","99","99","0.6","1.1","1.5","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","15","2.481879885683598","80"
"95","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","21","2.780663158568995","156"
"100","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","23","2.8620869339498114","127"
"93","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","24","2.9676976288303347","150"
"96","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","17","2.4850623188053165","116"
"92","99","99","0.6","1.1","2","false","0.001","NoSelection","3","1","100","0","0","1600","0.3","1600","0","18","2.5858653823161557","123"
