[run number],birds-dispersal-distance,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,siminputrow
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,527398585,1500,0,18,2.3154648738573043,36087,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,527398585,1500,0,17,2.1787892406562253,36638,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,27,2.694908607025485,32100,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,22,2.6202894961070524,32418,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,17,2.327778283298349,33460,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,15,2.2794547569347032,34582,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,11,2.0645033045344112,35688,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,27,2.7461876651852735,33968,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,24,2.5615473890888607,34201,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,20,2.483221368777514,35322,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,12,1.985125363938156,36206,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,BirthSelection,0.3,748638779,1500,0,12,1.971551561891014,36790,10
