[run number],birds-dispersal-distance,birth-rate-birds,world-width,world-height,initial-population,max-birds-species,death-rate-birds,migration-rate-birds,Video,prob-frag,Deforestation-at-time,end-time,Migration0-at-deforestation,deforestation-type,birds-behavior,replacement-rate,random-seed,[step],birds-at-deforestation,calc-number-of-species,calc-shannon-diversity,count birds,siminputrow
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,38,2.794408346199147,6274,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,45,2.8357019244051553,9124,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,39,2.621643802106096,12918,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,27,2.286747409330823,14052,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,31,2.6833598862099945,15191,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,44,2.941607217155477,15551,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,50,2.984862490729592,16247,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,37,2.960736136829221,17718,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,29,2.5661249229974517,18819,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-91367542,1500,0,32,2.3358608482779166,19112,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,35,2.734817830018456,6430,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,39,2.902777886706241,9201,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,36,2.7600165303128747,12810,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,39,2.780372555264081,14563,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,22,2.1655212982857996,14907,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,44,3.075454587699474,15303,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,38,2.879575804626295,16502,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,37,2.7726154259826954,17827,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,28,2.583164026576946,18841,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,2145954469,1500,0,26,2.0641621442686167,19202,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,55,3.0058051072145013,6821,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,37,2.97991301912054,9405,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,33,2.6600802207856646,12911,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,35,2.5944111675731945,14683,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,26,2.1435470792212103,15241,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,47,3.1111454379769596,15302,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,41,3.052648297681235,16294,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,28,2.7724241650019708,18134,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,29,2.490655008411662,18934,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,647224854,1500,0,38,2.5830433742068704,19001,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,44,2.928220478940146,6187,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,39,2.6043275194760422,9209,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,30,2.5103215614415313,13349,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,38,2.5996219775757163,14386,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,32,2.5234764363858595,14735,5
1,1.1,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,40,2.860610789460326,15214,6
1,1.2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,49,3.1460921024677067,16120,7
1,1.5,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,35,2.685653125946274,17848,8
1,2,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,33,2.745085441729774,18969,9
1,3,2,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1145963476,1500,0,31,1.7906951443178918,19188,10
1,1.1,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1839773191,1500,0,43,2.8572874529154624,6647,1
1,1.2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1839773191,1500,0,40,2.6500187290053185,8866,2
1,1.5,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1839773191,1500,0,37,2.444776645821746,12968,3
1,2,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1839773191,1500,0,32,2.7888957970642427,14077,4
1,3,1.7,199,199,0,100,1,1e-4,FALSE,0.6,0,1500,FALSE,regular,NoSelection,0.3,-1839773191,1500,0,39,2.95738275415776,15140,5
