"BehaviorSpace results (NetLogo 6.2.0)"
"MultipleContactNeutralMigrat.nlogo"
"NoSelection_pf06_hpf3-59_dd1-3_lambda2"
"05/19/2021 12:14:14:164 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","99","0","99"
"[run number]","prob-frag","birth-rate-birds","birds-dispersal-distance","Video","migration-rate-birds","birds-behavior","habitat-patch-size","death-rate-birds","max-birds-species","initial-population","Deforestation-at-time","end-time","replacement-rate","Migration0-at-deforestation","[step]","birds-at-deforestation","calc-number-of-species","calc-shannon-diversity","count birds"
"78","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1836","5","1.2918158197184184","1920"
"79","0.6","2","2","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1878","5","1.082071854496729","1838"
"89","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1782","5","1.114628207405039","1243"
"86","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1753","4","1.1521149900939327","1112"
"87","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1798","4","1.3307278889580574","1163"
"90","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1741","4","1.2927497215424704","1174"
"88","0.6","2","3","false","0.001","NoSelection","9","1","100","0","300","1600","0.3","true","1600","1728","3","1.0579860895239472","1055"
"92","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1724","3","0.8999900163666283","1715"
"94","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1740","4","0.876639978431719","1612"
"93","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1793","3","0.9014873842754906","1683"
"95","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1696","4","1.2501961350915944","1653"
"91","0.6","2","3","false","0.001","NoSelection","29","1","100","0","300","1600","0.3","true","1600","1740","4","1.1747937853768315","1708"
"99","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1868","5","1.0849283557817773","1774"
"96","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1852","5","1.3022248403099432","1781"
"97","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1855","5","1.374343747488195","1797"
"98","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1893","5","1.1759504575954975","1851"
"100","0.6","2","3","false","0.001","NoSelection","61","1","100","0","300","1600","0.3","true","1600","1849","7","1.474470537137904","1743"
